GO IPR KO
GO:0000155 IPR010559 K19621
GO:0000155 IPR010559 K07647
GO:0000155 IPR010559 K18143
GO:0000155 IPR010559 K07674
GO:0000155 IPR010559 K11633
GO:0000155 IPR010559 K11383
GO:0000155 IPR010559 K20973
GO:0000155 IPR010559 K07701
GO:0000155 IPR010559 K18940
GO:0000155 IPR010559 K11640
GO:0000155 IPR010559 K19694
GO:0000155 IPR010559 K15850
GO:0000155 IPR010559 K18072
GO:0000155 IPR010559 K11614
GO:0000155 IPR010559 K07778
GO:0000155 IPR010559 K02489
GO:0000155 IPR010559 K07769
GO:0000155 IPR010559 K07656
GO:0000155 IPR010559 K07711
GO:0000155 IPR010559 K10681
GO:0000155 IPR010559 K07708
GO:0000155 IPR010559 K13040
GO:0000155 IPR010559 K14978
GO:0000155 IPR010559 K19690
GO:0000155 IPR010559 K19691
GO:0000155 IPR010559 K18350
GO:0000155 IPR010559 K18351
GO:0000155 IPR010559 K19692
GO:0000155 IPR010559 K07683
GO:0000155 IPR010559 K08475
GO:0000155 IPR010559 K20339
GO:0000155 IPR010559 K07704
GO:0000155 IPR010559 K07768
GO:0000155 IPR010559 K20974
GO:0000155 IPR010559 K20975
GO:0000155 IPR010559 K02668
GO:0000155 IPR010559 K07698
GO:0000155 IPR010559 K07700
GO:0000155 IPR010559 K11354
GO:0000155 IPR010559 K07652
GO:0000155 IPR010559 K20960
GO:0000155 IPR010559 K00936
GO:0000155 IPR010559 K11629
GO:0000155 IPR010559 K08479
GO:0000155 IPR010559 K07640
GO:0000155 IPR010559 K02476
GO:0000155 IPR010559 K19077
GO:0000155 IPR010559 K11356
GO:0000155 IPR010559 K07648
GO:0000155 IPR010559 K11637
GO:0000155 IPR010559 K10916
GO:0000155 IPR010559 K07638
GO:0000155 IPR010559 K08082
GO:0000155 IPR010559 K18986
GO:0000155 IPR010559 K07644
GO:0000155 IPR010559 K19081
GO:0000155 IPR010559 K14489
GO:0000155 IPR010559 K07706
GO:0000155 IPR010559 K10909
GO:0000155 IPR010559 K07654
GO:0000155 IPR010559 K07655
GO:0000155 IPR010559 K07653
GO:0000155 IPR010559 K07646
GO:0000155 IPR010559 K07643
GO:0000155 IPR010559 K19616
GO:0000155 IPR010559 K15011
GO:0000155 IPR010559 K11711
GO:0000155 IPR010559 K11691
GO:0000155 IPR010559 K02491
GO:0000155 IPR010559 K07637
GO:0000155 IPR010559 K06596
GO:0000155 IPR010559 K07642
GO:0000155 IPR010559 K07680
GO:0000155 IPR010559 K07681
GO:0000155 IPR010559 K07645
GO:0000155 IPR010559 K07679
GO:0000155 IPR010559 K10715
GO:0000155 IPR010559 K11328
GO:0000155 IPR010559 K07682
GO:0000155 IPR010559 K07636
GO:0000155 IPR010559 K13598
GO:0000155 IPR010559 K07641
GO:0000155 IPR010559 K11527
GO:0000155 IPR010559 K07639
GO:0000155 IPR010559 K11526
GO:0000156 IPR008248 K07719
GO:0000156 IPR008248 K14987
GO:0000156 IPR008248 K07658
GO:0000156 IPR008248 K07712
GO:0000156 IPR008248 K20264
GO:0000156 IPR008248 K13587
GO:0000156 IPR008248 K11384
GO:0000156 IPR008248 K07668
GO:0000156 IPR008248 K13490
GO:0000156 IPR008248 K10697
GO:0000156 IPR008248 K18144
GO:0000156 IPR008248 K13584
GO:0000156 IPR008248 K07671
GO:0000156 IPR008248 K13589
GO:0000156 IPR008248 K02481
GO:0000156 IPR008248 K18073
GO:0000156 IPR008248 K11638
GO:0000156 IPR008248 K11634
GO:0000156 IPR008248 K19641
GO:0000156 IPR008248 K07720
GO:0000156 IPR008248 K11233
